"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"CONFIGURATION_POLE-THROW";"CONTACT_CURRENT_RATING";"CUI_PURCHASE_URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"EU_ROHS_COMPLIANCE";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SPICEPREFIX";"TE_PURCHASE_URL";"VALUE";
"C12";"22 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C13";"10 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C14";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C15";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C16";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C17";"20 pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C18";"20 pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C19";"22 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C20";"22 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C21";"10 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"D1";"AMB";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"AMB";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"RED";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D5";"1655";"1655";"FCI_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"Unavailable";"";"";"";"";" US Flag 10x15 feet Nylon ";"";"";"";"Adafruit Industries";"1655";"";"";"";" Nyl-Glo";"None";"";"";"";"";
"D6";"GRN";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D7";"GRN";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D8";"YEL";"LED0603";"LED-0603";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"PJ-002AH-SMT-TR";"PJ-002AH-SMT-TR";"CUI_PJ-002AH-SMT-TR";"2.0 mm Center Pin, 5.0 A, Right Angle, Surface Mount (SMT), Dc Power Jack Connector";"";"";"";"";"https://www.cui.com/product/interconnect/dc-power-connectors/jacks/2.0-mm-center-pin/pj-002ah-smt-tr?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";" 24 VDC 5 A Surface Mount Unshielded 2 Conductors 3 Contacts Male Power Jack ";"CP-002AHPJCT-ND";"https://www.digikey.com/product-detail/en/cui-inc/PJ-002AH-SMT-TR/CP-002AHPJCT-ND/669692?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"CUI Inc.";"PJ-002AH-SMT-TR";"";"";"";"None";"";"";"";"";"";
"J2";"10118192-0001LF";"10118192-0001LF";"AMPHENOL_10118192-0001LF";"Single Port 5 Contact Horizontal Right Angle Shielded Micro B USB 2.0 Connector";"Unavailable";"";"";"";"";" Single Port 5 Contact Horizontal Right Angle Shielded Micro B USB 2.0 Connector ";"";"";"";"Amphenol ICC";"10118192-0001LF";"";"";"";"None";"None";"";"";"";"";
"JP1";"ICSP";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"Raspberry Pi";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"";"HEADER-3X04";"3X04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP4";"";"HEADER-3X04";"3X04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"";"HEADER-3X04";"3X04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP6";"CAN";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP7";"CAN_TERM";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP8";"CAN";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"744316470";"744316470";"INDC2220X16";"Surface Mount Power Inductor, WE-HCI Series, 4.7 H, 20%, Shielded, 0.0245 ohm, 4.6 A";"Unavailable";"";"";"";"";" Surface Mount Power Inductor, WE-HCI Series, 4.7 H, 20%, Shielded, 0.0245 ohm, 4.6 A ";"";"";"";"Wurth Electronics";"744316470";"";"";"";"SMD-2 Würth Elektronik";"None";"";"";"";"";
"L2";"744316470";"744316470";"INDC2220X16";"Surface Mount Power Inductor, WE-HCI Series, 4.7 H, 20%, Shielded, 0.0245 ohm, 4.6 A";"Unavailable";"";"";"";"";" Surface Mount Power Inductor, WE-HCI Series, 4.7 H, 20%, Shielded, 0.0245 ohm, 4.6 A ";"";"";"";"Wurth Electronics";"744316470";"";"";"";"SMD-2 Würth Elektronik";"None";"";"";"";"";
"Q1";"SSM3J378R,LF";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRAN-14388";"";"";"20V/4.2A/52mΩ/1.4W";
"Q2";"2N7002-TP";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-12988";"";"";"5.8A/30V/35mΩ";
"R1";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R2";"220";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R3";"2K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
